DATE,CLVMNACSCAB1GQEU272020
1995-01-01,2065691.8
1995-04-01,2088046.6
1995-07-01,2096293.3
1995-10-01,2107703.6
1996-01-01,2107654.1
1996-04-01,2122862.2
1996-07-01,2134032.6
1996-10-01,2141581.4
1997-01-01,2150272.1
1997-04-01,2176607.6
1997-07-01,2192087.3
1997-10-01,2216599.2
1998-01-01,2232261.1
1998-04-01,2241998.8
1998-07-01,2255901.4
1998-10-01,2260000.4
1999-01-01,2281290.7
1999-04-01,2295161.1
1999-07-01,2321444.5
1999-10-01,2349216.9
2000-01-01,2376353.6
2000-04-01,2399598.2
2000-07-01,2412573.1
2000-10-01,2429265.8
2001-01-01,2451325.3
2001-04-01,2453791.8
2001-07-01,2457875.1
2001-10-01,2461732.4
2002-01-01,2464815.7
2002-04-01,2479123.1
2002-07-01,2490351.3
2002-10-01,2494618.9
2003-01-01,2489766.4
2003-04-01,2492830.7
2003-07-01,2507891.9
2003-10-01,2526700.0
2004-01-01,2542872.8
2004-04-01,2559380.6
2004-07-01,2566882.6
2004-10-01,2578175.1
2005-01-01,2585267.7
2005-04-01,2601312.4
2005-07-01,2621941.5
2005-10-01,2640399.0
2006-01-01,2665367.5
2006-04-01,2698033.9
2006-07-01,2714685.0
2006-10-01,2743308.3
2007-01-01,2764052.8
2007-04-01,2783657.5
2007-07-01,2797847.5
2007-10-01,2815385.1
2008-01-01,2830581.1
2008-04-01,2823364.3
2008-07-01,2809078.4
2008-10-01,2758509.7
2009-01-01,2678627.1
2009-04-01,2676799.6
2009-07-01,2686706.7
2009-10-01,2699851.3
2010-01-01,2710826.5
2010-04-01,2737813.4
2010-07-01,2751696.7
2010-10-01,2769243.1
2011-01-01,2792133.8
2011-04-01,2794569.1
2011-07-01,2799789.6
2011-10-01,2789369.1
2012-01-01,2784360.1
2012-04-01,2777619.8
2012-07-01,2775175.5
2012-10-01,2763653.8
2013-01-01,2757125.1
2013-04-01,2771573.8
2013-07-01,2781496.9
2013-10-01,2789979.2
2014-01-01,2802304.6
2014-04-01,2810736.5
2014-07-01,2825172.8
2014-10-01,2837720.1
2015-01-01,2858961.9
2015-04-01,2872893.7
2015-07-01,2888269.7
2015-10-01,2902577.8
2016-01-01,2917691.0
2016-04-01,2927556.2
2016-07-01,2940895.9
2016-10-01,2965313.3
2017-01-01,2987477.3
2017-04-01,3013330.2
2017-07-01,3035150.4
2017-10-01,3061347.9
2018-01-01,3066397.9
2018-04-01,3084007.1
2018-07-01,3088204.6
2018-10-01,3107280.2
2019-01-01,3132635.1
2019-04-01,3141063.8
2019-07-01,3150101.2
2019-10-01,3149684.3
2020-01-01,3051778.9
2020-04-01,2709104.2
2020-07-01,3027431.0
2020-10-01,3022656.4
2021-01-01,3024894.1
2021-04-01,3088835.6
2021-07-01,3155427.1
2021-10-01,3167670.0
